,X,Y,Z
185,526707.49,710731.69,3.168
186,526711.6,710722.58,2.853
187,526715.71,710713.46,2.799
188,526719.81,710704.34,2.7720000000000002
189,526723.92,710695.22,2.682
190,526728.03,710686.11,2.9339999999999997
191,526732.13,710676.99,2.8800000000000003
192,526859.46,710394.34,3.8160000000000003
193,526863.56,710385.22,3.8789999999999996
194,526867.67,710376.11,3.942
195,526871.78,710366.99,4.572
196,526875.89,710357.87,4.914
197,526879.99,710348.75,5.148
198,526884.1,710339.64,5.607
199,526888.21,710330.52,6.147
200,526892.31,710321.4,6.777
201,526896.42,710312.28,6.228
202,526900.53,710303.17,5.373
203,526904.64,710294.05,4.203
204,526908.74,710284.93,2.763
205,526912.85,710275.81,2.178
206,526916.96,710266.7,2.3040000000000003
207,526921.07,710257.58,2.358
208,526925.17,710248.46,2.682
209,526929.28,710239.34,3.042
210,526933.39,710230.23,4.428
211,526937.49,710221.11,5.769
212,526626.25,710936.39,3.15
213,526630.36,710927.27,4.806
214,526634.47,710918.15,4.761
215,526638.57,710909.04,5.076
216,526642.68,710899.92,5.706
217,526646.79,710890.8,5.688000000000001
218,526650.89,710881.68,5.859
219,526655.0,710872.57,5.697
220,526659.11,710863.45,6.048
221,526663.22,710854.33,6.408
222,526667.32,710845.21,7.218
223,526671.43,710836.1,8.748000000000001
224,526675.54,710826.98,9.126000000000001
225,526679.64,710817.86,8.586
226,526683.75,710808.74,8.082
227,526687.86,710799.62,7.470000000000001
228,526691.97,710790.51,6.8580000000000005
229,526696.07,710781.39,7.056
230,526700.18,710772.27,7.685999999999999
231,526704.29,710763.15,5.688000000000001
232,526708.39,710754.04,4.77
233,526712.5,710744.92,4.59
234,526716.61,710735.8,3.978
235,526720.72,710726.68,3.258
236,526724.82,710717.57,3.339
237,526728.93,710708.45,3.357
238,526733.04,710699.33,3.015
239,526737.14,710690.21,3.321
240,526741.25,710681.1,3.267
241,526745.36,710671.98,3.222
242,526749.47,710662.86,3.06
243,526848.04,710444.04,3.3480000000000003
244,526852.15,710434.92,3.42
245,526856.25,710425.8,3.483
246,526860.36,710416.68,3.8070000000000004
247,526864.47,710407.57,3.9869999999999997
248,526868.57,710398.45,4.104
249,526872.68,710389.33,4.23
250,526876.79,710380.21,4.347
251,526880.9,710371.1,4.581
252,526885.0,710361.98,5.247
253,526889.11,710352.86,5.904
254,526893.22,710343.74,6.768
255,526897.33,710334.63,7.551000000000001
256,526901.43,710325.51,8.235000000000001
257,526905.54,710316.39,7.911
258,526909.65,710307.27,7.128
259,526913.75,710298.16,6.03
260,526917.86,710289.04,4.977
261,526921.97,710279.92,4.167
262,526926.08,710270.8,3.7710000000000004
263,526930.18,710261.69,2.9610000000000003
264,526934.29,710252.57,2.079
265,526938.4,710243.45,1.953
266,526942.5,710234.33,1.854
267,526946.61,710225.21,1.863
268,526950.72,710216.1,1.7369999999999999
269,526954.83,710206.98,2.2680000000000002
270,526958.93,710197.86,3.015
271,526963.04,710188.74,3.3480000000000003
272,526967.15,710179.63,4.742999999999999
273,526971.25,710170.51,6.129
274,526975.36,710161.39,7.524
275,526639.48,710931.38,3.672
276,526643.58,710922.26,4.553999999999999
277,526647.69,710913.14,5.121
278,526651.8,710904.03,5.328
279,526655.9,710894.91,5.796
280,526660.01,710885.79,5.8229999999999995
281,526664.12,710876.67,5.841
282,526668.23,710867.56,5.814
283,526672.33,710858.44,5.886
284,526676.44,710849.32,6.498
285,526680.55,710840.2,7.821
286,526684.65,710831.08,8.451
287,526688.76,710821.97,8.532
288,526692.87,710812.85,8.559
289,526696.98,710803.73,8.613000000000001
290,526701.08,710794.61,8.667000000000002
291,526705.19,710785.5,8.685
292,526709.3,710776.38,9.009
293,526713.4,710767.26,7.29
294,526717.51,710758.14,6.4350000000000005
295,526721.62,710749.03,6.012
296,526725.73,710739.91,4.788
297,526729.83,710730.79,3.8520000000000003
298,526733.94,710721.67,4.545
299,526738.05,710712.56,4.1850000000000005
300,526742.16,710703.44,4.068
301,526746.26,710694.32,4.194
302,526750.37,710685.2,3.456
303,526754.48,710676.09,3.546
304,526758.58,710666.97,3.5010000000000003
305,526762.69,710657.85,2.9339999999999997
306,526857.16,710448.14,2.952
307,526861.26,710439.03,3.3480000000000003
308,526865.37,710429.91,3.42
309,526869.48,710420.79,3.654
310,526873.59,710411.67,3.8070000000000004
311,526877.69,710402.56,3.87
312,526881.8,710393.44,3.9600000000000004
313,526885.91,710384.32,4.6530000000000005
314,526890.01,710375.2,5.922000000000001
315,526894.12,710366.09,6.633
316,526898.23,710356.97,7.11
317,526902.34,710347.85,7.901999999999999
318,526906.44,710338.73,8.766
319,526910.55,710329.62,9.576
320,526914.66,710320.5,9.747
321,526918.76,710311.38,8.874
322,526922.87,710302.26,8.118
323,526926.98,710293.15,6.930000000000001
324,526931.09,710284.03,6.507000000000001
325,526935.19,710274.91,5.814
326,526939.3,710265.79,3.609
327,526943.41,710256.67,2.394
328,526947.51,710247.56,2.241
329,526951.62,710238.44,2.097
330,526955.73,710229.32,2.619
331,526959.84,710220.2,2.385
332,526963.94,710211.09,2.6550000000000002
333,526968.05,710201.97,2.7
334,526972.16,710192.85,3.9330000000000003
335,526976.26,710183.73,3.0690000000000004
336,526980.37,710174.62,4.599
337,526984.48,710165.5,6.606
338,526988.59,710156.38,7.7940000000000005
339,526992.69,710147.26,8.055
340,526996.8,710138.15,8.703
341,527000.91,710129.03,11.879999999999999
342,527005.02,710119.91,12.321
343,527009.12,710110.79,11.979000000000001
344,527013.23,710101.68,10.368
345,526652.7,710926.37,4.113
346,526656.81,710917.25,5.148
347,526660.91,710908.13,5.643
348,526665.02,710899.02,6.237
349,526669.13,710889.9,6.273
350,526673.24,710880.78,6.057
351,526677.34,710871.66,5.994000000000001
352,526681.45,710862.54,6.111
353,526685.56,710853.43,6.561
354,526689.67,710844.31,7.182
355,526693.77,710835.19,7.587
356,526697.88,710826.07,7.911
357,526701.99,710816.96,8.172
358,526706.09,710807.84,8.676
359,526710.2,710798.72,9.351
360,526714.31,710789.6,8.964
361,526718.42,710780.49,8.504999999999999
362,526722.52,710771.37,8.397
363,526726.63,710762.25,7.938000000000001
364,526730.74,710753.13,7.425
365,526734.84,710744.02,6.426
366,526738.95,710734.9,5.994000000000001
367,526743.06,710725.78,6.534
368,526747.17,710716.66,5.382000000000001
369,526751.27,710707.55,5.229
370,526755.38,710698.43,5.157000000000001
371,526759.49,710689.31,4.4190000000000005
372,526763.59,710680.19,4.239
373,526767.7,710671.07,4.149
374,526771.81,710661.96,3.636
375,526775.92,710652.84,3.024
376,526866.27,710452.25,2.637
377,526870.38,710443.13,2.619
378,526874.49,710434.02,2.763
379,526878.6,710424.9,3.24
380,526882.7,710415.78,3.564
381,526886.81,710406.66,3.762
382,526890.92,710397.55,4.239
383,526895.02,710388.43,4.662
384,526899.13,710379.31,6.426
385,526903.24,710370.19,8.667000000000002
386,526907.35,710361.08,9.567
387,526911.45,710351.96,9.414000000000001
388,526915.56,710342.84,9.837
389,526919.67,710333.72,9.72
390,526923.77,710324.61,11.052
391,526927.88,710315.49,11.151000000000002
392,526931.99,710306.37,10.503
393,526936.1,710297.25,9.135
394,526940.2,710288.13,8.586
395,526944.31,710279.02,6.723
396,526948.42,710269.9,3.798
397,526952.53,710260.78,2.682
398,526956.63,710251.66,2.4480000000000004
399,526960.74,710242.55,2.3040000000000003
400,526964.85,710233.43,3.3930000000000002
401,526968.95,710224.31,3.096
402,526973.06,710215.19,3.5730000000000004
403,526977.17,710206.08,3.798
404,526981.28,710196.96,4.689
405,526985.38,710187.84,4.248
406,526989.49,710178.72,5.481
407,526993.6,710169.61,7.02
408,526997.7,710160.49,7.956
409,527001.81,710151.37,8.109
410,527005.92,710142.25,8.712
411,527010.03,710133.14,11.196
412,527014.13,710124.02,10.26
413,527018.24,710114.9,10.08
414,527022.35,710105.78,9.18
415,527026.45,710096.66,7.713
416,527030.56,710087.55,6.3
417,527034.67,710078.43,5.697
418,526661.82,710930.48,2.988
419,526665.93,710921.36,4.221
420,526670.03,710912.24,5.382000000000001
421,526674.14,710903.12,6.381
422,526678.25,710894.0,6.147
423,526682.35,710884.89,5.9399999999999995
424,526686.46,710875.77,5.949000000000001
425,526690.57,710866.65,6.282000000000001
426,526694.68,710857.53,6.444
427,526698.78,710848.42,6.57
428,526702.89,710839.3,6.714
429,526707.0,710830.18,6.885000000000001
430,526711.1,710821.06,6.9479999999999995
431,526715.21,710811.95,7.668
432,526719.32,710802.83,9.261
433,526723.43,710793.71,8.091000000000001
434,526727.53,710784.59,7.173
435,526731.64,710775.48,7.812
436,526735.75,710766.36,7.857
437,526739.85,710757.24,7.623000000000001
438,526743.96,710748.12,7.398000000000001
439,526748.07,710739.01,7.245000000000001
440,526752.18,710729.89,7.3260000000000005
441,526756.28,710720.77,6.831
442,526760.39,710711.65,7.515
443,526764.5,710702.53,7.344
444,526768.6,710693.42,6.273
445,526772.71,710684.3,6.084
446,526776.82,710675.18,6.066000000000001
447,526780.93,710666.06,5.391
448,526785.03,710656.95,4.8149999999999995
449,526789.14,710647.83,3.195
450,526879.5,710447.24,1.9080000000000001
451,526883.61,710438.12,2.205
452,526887.71,710429.01,2.8080000000000003
453,526891.82,710419.89,3.4019999999999997
454,526895.93,710410.77,3.519
455,526900.03,710401.65,4.275
456,526904.14,710392.54,5.526
457,526908.25,710383.42,6.9750000000000005
458,526912.36,710374.3,10.161
459,526916.46,710365.18,11.025
460,526920.57,710356.07,10.782
461,526924.68,710346.95,11.142000000000001
462,526928.79,710337.83,11.709
463,526932.89,710328.71,12.276000000000002
464,526937.0,710319.59,12.492
465,526941.11,710310.48,12.195
466,526945.21,710301.36,11.439000000000002
467,526949.32,710292.24,10.620000000000001
468,526953.43,710283.12,7.5329999999999995
469,526957.54,710274.01,3.618
470,526961.64,710264.89,2.9970000000000003
471,526965.75,710255.77,2.6550000000000002
472,526969.86,710246.65,2.52
473,526973.96,710237.54,4.086
474,526978.07,710228.42,3.861
475,526982.18,710219.3,4.5
476,526986.29,710210.18,4.977
477,526990.39,710201.07,5.517
478,526994.5,710191.95,5.481
479,526998.61,710182.83,6.39
480,527002.71,710173.71,7.6049999999999995
481,527006.82,710164.6,8.1
482,527010.93,710155.48,8.126999999999999
483,527015.04,710146.36,8.748000000000001
484,527019.14,710137.24,10.368
485,527023.25,710128.12,8.973
486,527027.36,710119.01,7.901999999999999
487,527031.46,710109.89,7.704000000000001
488,527035.57,710100.77,6.489
489,527039.68,710091.65,5.589
490,527043.79,710082.54,5.301
491,527047.89,710073.42,5.391
492,526679.15,710916.35,4.86
493,526683.26,710907.23,5.760000000000001
494,526687.36,710898.11,5.724
495,526691.47,710888.99,5.7509999999999994
496,526695.58,710879.88,5.958
497,526699.69,710870.76,6.102
498,526703.79,710861.64,6.255
499,526707.9,710852.52,6.426
500,526712.01,710843.41,6.201
501,526716.11,710834.29,5.256
502,526720.22,710825.17,4.365
503,526724.33,710816.05,4.842
504,526728.44,710806.94,7.236
505,526732.54,710797.82,6.714
506,526736.65,710788.7,6.174
507,526740.76,710779.58,6.8580000000000005
508,526744.86,710770.47,7.173
509,526748.97,710761.35,7.164
510,526753.08,710752.23,7.470000000000001
511,526757.19,710743.11,7.587
512,526761.29,710733.99,7.731
513,526765.4,710724.88,7.929
514,526769.51,710715.76,8.766
515,526773.62,710706.64,8.775
516,526777.72,710697.52,7.146000000000001
517,526781.83,710688.41,7.443
518,526785.94,710679.29,7.02
519,526790.04,710670.17,6.417
520,526794.15,710661.05,5.652
521,526798.26,710651.94,4.383
522,526802.37,710642.82,3.375
523,526806.47,710633.7,1.584
524,526892.72,710442.23,1.8900000000000001
525,526896.83,710433.11,2.214
526,526900.94,710424.0,3.06
527,526905.05,710414.88,3.8520000000000003
528,526909.15,710405.76,5.265
529,526913.26,710396.64,7.074000000000001
530,526917.37,710387.53,9.288
531,526921.47,710378.41,11.277
532,526925.58,710369.29,12.096
533,526929.69,710360.17,12.159
534,526933.8,710351.05,12.348
535,526937.9,710341.94,12.978
536,526942.01,710332.82,12.897
537,526946.12,710323.7,12.843
538,526950.22,710314.58,12.348
539,526954.33,710305.47,11.799
540,526958.44,710296.35,10.431000000000001
541,526962.55,710287.23,7.470000000000001
542,526966.65,710278.11,3.681
543,526970.76,710269.0,3.285
544,526974.87,710259.88,2.9160000000000004
545,526978.97,710250.76,2.736
546,526983.08,710241.64,4.824000000000001
547,526987.19,710232.53,4.7250000000000005
548,526991.3,710223.41,5.463
549,526995.4,710214.29,6.264
550,526999.51,710205.17,6.6690000000000005
551,527003.62,710196.06,6.66
552,527007.73,710186.94,7.236
553,527011.83,710177.82,7.938000000000001
554,527015.94,710168.7,8.244
555,527020.05,710159.58,8.154
556,527024.15,710150.47,8.595
557,527028.26,710141.35,9.270000000000001
558,527032.37,710132.23,7.677
559,527036.48,710123.11,5.967
560,527040.58,710114.0,5.7509999999999994
561,527044.69,710104.88,5.157000000000001
562,527048.8,710095.76,4.671
563,527052.9,710086.64,4.95
564,526696.48,710902.22,3.9240000000000004
565,526700.59,710893.1,4.482
566,526704.7,710883.98,4.995
567,526708.8,710874.87,5.283
568,526712.91,710865.75,5.418
569,526717.02,710856.63,5.688000000000001
570,526721.13,710847.51,5.445
571,526725.23,710838.4,4.824000000000001
572,526729.34,710829.28,4.203
573,526733.45,710820.16,3.9960000000000004
574,526737.55,710811.04,4.995
575,526741.66,710801.93,5.319
576,526745.77,710792.81,5.67
577,526749.88,710783.69,6.264
578,526753.98,710774.57,6.705
579,526758.09,710765.45,6.9479999999999995
580,526762.2,710756.34,7.236
581,526766.3,710747.22,7.911
582,526770.41,710738.1,8.469000000000001
583,526774.52,710728.98,8.307
584,526778.63,710719.87,9.09
585,526782.73,710710.75,9.711
586,526786.84,710701.63,9.936
587,526790.95,710692.51,9.306000000000001
588,526795.05,710683.4,8.406
589,526799.16,710674.28,7.407000000000001
590,526803.27,710665.16,6.003
591,526807.38,710656.04,4.779
592,526811.48,710646.93,3.492
593,526815.59,710637.81,2.232
594,526819.7,710628.69,1.593
595,526823.8,710619.57,1.4040000000000001
596,526905.95,710437.22,1.971
597,526910.06,710428.1,2.025
598,526914.16,710418.99,3.9330000000000003
599,526918.27,710409.87,6.633
600,526922.38,710400.75,8.748000000000001
601,526926.48,710391.63,11.448
602,526930.59,710382.51,12.860999999999999
603,526934.7,710373.4,12.924
604,526938.81,710364.28,12.987
605,526942.91,710355.16,13.455
606,526947.02,710346.04,13.607999999999999
607,526951.13,710336.93,13.095
608,526955.23,710327.81,12.78
609,526959.34,710318.69,12.339
610,526963.45,710309.57,11.151000000000002
611,526967.56,710300.46,8.865
612,526971.66,710291.34,6.228
613,526975.77,710282.22,3.834
614,526979.88,710273.1,3.483
615,526983.99,710263.99,3.096
616,526988.09,710254.87,3.0330000000000004
617,526992.2,710245.75,5.346
618,526996.31,710236.63,5.6160000000000005
619,527000.41,710227.52,6.489
620,527004.52,710218.4,7.362
621,527008.63,710209.28,7.596
622,527012.74,710200.16,7.803
623,527016.84,710191.04,8.073
624,527020.95,710181.93,8.360999999999999
625,527025.06,710172.81,8.325000000000001
626,527029.16,710163.69,8.154
627,527033.27,710154.57,8.379000000000001
628,527037.38,710145.46,8.1
629,527041.49,710136.34,6.39
630,527045.59,710127.22,4.680000000000001
631,527049.7,710118.1,3.69
632,527053.81,710108.99,3.6270000000000002
633,526713.81,710888.09,4.572
634,526717.92,710878.97,4.176
635,526722.03,710869.86,4.266
636,526726.14,710860.74,5.13
637,526730.24,710851.62,5.454
638,526734.35,710842.5,5.301
639,526738.46,710833.39,5.067
640,526742.56,710824.27,4.8149999999999995
641,526746.67,710815.15,4.5
642,526750.78,710806.03,5.571000000000001
643,526754.89,710796.91,5.931
644,526758.99,710787.8,6.093
645,526763.1,710778.68,6.534
646,526767.21,710769.56,7.38
647,526771.31,710760.44,7.263000000000001
648,526775.42,710751.33,8.244
649,526779.53,710742.21,9.09
650,526783.64,710733.09,9.09
651,526787.74,710723.97,9.594000000000001
652,526791.85,710714.86,9.882000000000001
653,526795.96,710705.74,9.801
654,526800.06,710696.62,9.621
655,526804.17,710687.5,9.243
656,526808.28,710678.39,8.487
657,526812.39,710669.27,6.9030000000000005
658,526816.49,710660.15,7.011
659,526820.6,710651.03,7.614000000000001
660,526824.71,710641.92,6.246
661,526828.82,710632.8,5.166
662,526832.92,710623.68,5.148
663,526837.03,710614.56,4.707000000000001
664,526841.14,710605.44,3.9960000000000004
665,526845.24,710596.33,2.763
666,526849.35,710587.21,2.7
667,526853.46,710578.09,2.2769999999999997
668,526857.57,710568.97,2.565
669,526923.28,710423.09,2.3760000000000003
670,526927.39,710413.97,4.572
671,526931.49,710404.86,7.029
672,526935.6,710395.74,10.476
673,526939.71,710386.62,12.105
674,526943.82,710377.5,12.222
675,526947.92,710368.39,12.573
676,526952.03,710359.27,13.158
677,526956.14,710350.15,13.401000000000002
678,526960.25,710341.03,13.014000000000001
679,526964.35,710331.92,12.708
680,526968.46,710322.8,12.258
681,526972.57,710313.68,11.241
682,526976.67,710304.56,8.847
683,526980.78,710295.45,6.309
684,526984.89,710286.33,3.8789999999999996
685,526989.0,710277.21,3.51
686,526993.1,710268.09,3.222
687,526997.21,710258.98,3.9240000000000004
688,527001.32,710249.86,5.319
689,527005.42,710240.74,6.354
690,527009.53,710231.62,6.795
691,527013.64,710222.5,7.767000000000001
692,527017.75,710213.39,8.163
693,527021.85,710204.27,8.289000000000001
694,527025.96,710195.15,8.424
695,527030.07,710186.03,8.388
696,527034.17,710176.92,8.28
697,527038.28,710167.8,8.01
698,527042.39,710158.68,8.037
699,527046.5,710149.56,6.803999999999999
700,527050.6,710140.45,4.617
701,527054.71,710131.33,1.9800000000000002
702,527058.82,710122.21,2.574
703,526595.61,711174.84,2.9160000000000004
704,526599.72,711165.73,1.431
705,526603.82,711156.61,1.521
706,526718.82,710901.32,3.7350000000000003
707,526722.93,710892.2,4.1850000000000005
708,526727.04,710883.08,3.51
709,526731.15,710873.96,4.59
710,526735.25,710864.85,5.013000000000001
711,526739.36,710855.73,5.283
712,526743.47,710846.61,5.562
713,526747.57,710837.49,5.841
714,526751.68,710828.37,5.7330000000000005
715,526755.79,710819.26,5.319
716,526759.9,710810.14,6.3
717,526764.0,710801.02,6.471
718,526768.11,710791.9,6.498
719,526772.22,710782.79,6.849
720,526776.33,710773.67,7.821
721,526780.43,710764.55,7.893
722,526784.54,710755.43,8.901000000000002
723,526788.65,710746.32,9.54
724,526792.75,710737.2,9.792000000000002
725,526796.86,710728.08,9.81
726,526800.97,710718.96,9.909
727,526805.08,710709.85,9.756
728,526809.18,710700.73,9.72
729,526813.29,710691.61,9.792000000000002
730,526817.4,710682.49,9.756
731,526821.5,710673.38,9.351
732,526825.61,710664.26,9.09
733,526829.72,710655.14,8.991
734,526833.83,710646.02,8.109
735,526837.93,710636.9,7.29
736,526842.04,710627.79,7.74
737,526846.15,710618.67,7.209
738,526850.25,710609.55,6.7860000000000005
739,526854.36,710600.43,6.444
740,526858.47,710591.32,6.183
741,526862.58,710582.2,5.364
742,526866.68,710573.08,4.662
743,526870.79,710563.96,4.113
744,526874.9,710554.85,3.9869999999999997
745,526879.0,710545.73,3.8160000000000003
746,526932.4,710427.2,2.7720000000000002
747,526936.51,710418.08,1.773
748,526940.61,710408.96,5.508
749,526944.72,710399.85,9.261
750,526948.83,710390.73,11.295000000000002
751,526952.93,710381.61,11.628
752,526957.04,710372.49,12.231
753,526961.15,710363.38,12.924
754,526965.26,710354.26,13.212
755,526969.36,710345.14,12.870000000000001
756,526973.47,710336.02,12.501000000000001
757,526977.58,710326.91,12.357000000000001
758,526981.68,710317.79,11.448
759,526985.79,710308.67,8.559
760,526989.9,710299.55,6.39
761,526994.01,710290.44,3.9509999999999996
762,526998.11,710281.32,3.591
763,527002.22,710272.2,3.366
764,527006.33,710263.08,4.914
765,527010.43,710253.96,5.274
766,527014.54,710244.85,7.074000000000001
767,527018.65,710235.73,7.137
768,527022.76,710226.61,7.938000000000001
769,527026.86,710217.49,8.1
770,527030.97,710208.38,8.334
771,527035.08,710199.26,8.136
772,527039.19,710190.14,7.911
773,527043.29,710181.02,7.829999999999999
774,527047.4,710171.91,7.829999999999999
775,527051.51,710162.79,6.687
776,527055.61,710153.67,4.473
777,527059.72,710144.55,1.971
778,527063.83,710135.44,1.368
779,526600.62,711188.07,5.202
780,526604.73,711178.95,4.671
781,526608.83,711169.83,5.031
782,526612.94,711160.72,5.5440000000000005
783,526617.05,711151.6,3.87
784,526621.16,711142.48,3.411
785,526625.26,711133.36,3.645
786,526629.37,711124.25,2.781
787,526633.48,711115.13,2.421
788,526637.58,711106.01,2.466
789,526699.19,710969.25,1.323
790,526703.3,710960.13,1.107
791,526707.41,710951.01,0.7290000000000001
792,526711.51,710941.89,0.5760000000000001
793,526715.62,710932.78,0.9630000000000001
794,526719.73,710923.66,1.143
795,526723.83,710914.54,0.9810000000000001
796,526727.94,710905.42,2.205
797,526732.05,710896.31,2.385
798,526736.16,710887.19,3.6630000000000003
799,526740.26,710878.07,4.788
800,526744.37,710868.95,4.671
801,526748.48,710859.84,5.148
802,526752.59,710850.72,5.706
803,526756.69,710841.6,6.210000000000001
804,526760.8,710832.48,6.282000000000001
805,526764.91,710823.36,6.039
806,526769.01,710814.25,6.588
807,526773.12,710805.13,6.723
808,526777.23,710796.01,6.894
809,526781.34,710786.89,7.263000000000001
810,526785.44,710777.78,8.262
